age,gender,occupation,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw,lifestyle_change
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
1,1,7,9,9,0.5,1,3,-0.5,-0.5,0.5,1.0,1.0,1.0,1100,1100,1,2,1
1,0,1,5,11,0.5,1,1,1.0,-1.0,1.0,1.0,1.0,1.0,1111,10,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
1,1,7,9,9,0.5,1,3,-0.5,-0.5,0.5,1.0,1.0,1.0,1100,1100,1,2,1
1,0,1,5,11,0.5,1,1,1.0,-1.0,1.0,1.0,1.0,1.0,1111,10,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
1,1,7,9,9,0.5,1,3,-0.5,-0.5,0.5,1.0,1.0,1.0,1100,1100,1,2,1
1,0,1,5,11,0.5,1,1,1.0,-1.0,1.0,1.0,1.0,1.0,1111,10,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
1,1,7,9,9,0.5,1,3,-0.5,-0.5,0.5,1.0,1.0,1.0,1100,1100,1,2,1
1,0,1,5,11,0.5,1,1,1.0,-1.0,1.0,1.0,1.0,1.0,1111,10,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
1,1,7,9,9,0.5,1,3,-0.5,-0.5,0.5,1.0,1.0,1.0,1100,1100,1,2,1
1,0,1,5,11,0.5,1,1,1.0,-1.0,1.0,1.0,1.0,1.0,1111,10,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
1,1,7,9,9,0.5,1,3,-0.5,-0.5,0.5,1.0,1.0,1.0,1100,1100,1,2,1
1,0,1,5,11,0.5,1,1,1.0,-1.0,1.0,1.0,1.0,1.0,1111,10,1,2,1
2,1,7,7,9,2.5,3,3,0.5,0.5,0.5,1.0,0.0,0.5,1100,1110,0,0,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
1,1,5,5,4,0.5,1,3,0.5,0.5,1.0,0.5,1.0,1.0,1100,1101,1,2,1
1,1,5,5,9,0.5,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1010,100,1,2,1
1,0,5,7,7,0.5,2,1,-0.5,0.0,0.5,1.0,0.5,1.0,1110,1100,0,0,1
1,1,5,5,4,0.5,1,3,0.5,0.5,1.0,0.5,1.0,1.0,1100,1101,1,2,1
1,1,5,5,9,0.5,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1010,100,1,2,1
1,0,5,7,7,0.5,2,1,-0.5,0.0,0.5,1.0,0.5,1.0,1110,1100,0,0,1
1,1,5,5,4,0.5,1,3,0.5,0.5,1.0,0.5,1.0,1.0,1100,1101,1,2,1
1,1,5,5,9,0.5,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1010,100,1,2,1
1,0,5,7,7,0.5,2,1,-0.5,0.0,0.5,1.0,0.5,1.0,1110,1100,0,0,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,1,7,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,0,0,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
2,1,7,9,5,1.5,2,3,0.5,0.5,0.5,0.5,0.5,0.5,1001,100,1,2,1
2,1,7,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,0,0,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
2,1,7,9,5,1.5,2,3,0.5,0.5,0.5,0.5,0.5,0.5,1001,100,1,2,1
2,1,7,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,0,0,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
2,1,7,9,5,1.5,2,3,0.5,0.5,0.5,0.5,0.5,0.5,1001,100,1,2,1
2,1,7,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,0,0,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
2,1,7,9,5,1.5,2,3,0.5,0.5,0.5,0.5,0.5,0.5,1001,100,1,2,1
2,1,7,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,0,0,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
2,1,7,9,5,1.5,2,3,0.5,0.5,0.5,0.5,0.5,0.5,1001,100,1,2,1
2,1,7,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,0,0,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
2,1,7,9,5,1.5,2,3,0.5,0.5,0.5,0.5,0.5,0.5,1001,100,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,1,7,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,0,0,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,1,7,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,0,0,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,1,7,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,0,0,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,1,7,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,0,0,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,1,7,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,0,0,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,1,7,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,0,0,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,1,7,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,0,0,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
